Source Name	Sample Name	Release Date	Characteristics [Organism]	Term Source REF	Term Accession Number	unit	Characteristics [project name]	Term Source REF	Term Accession Number	unit	Characteristics [collection date]	Term Source REF	Term Accession Number	unit	Characteristics [geographic location (country and/or sea)]	Term Source REF	Term Accession Number	unit	Characteristics [geographic location (latitude)]	Term Source REF	Term Accession Number	unit	Characteristics [geographic location (longitude)]	Term Source REF	Term Accession Number	unit	Characteristics [Depth]	Term Source REF	Term Accession Number	unit	Characteristics [broad-scale environmental context]	Term Source REF	Term Accession Number	unit	Characteristics [local environmental context]	Term Source REF	Term Accession Number	unit	Characteristics [environmental medium]	Term Source REF	Term Accession Number	unit
BIOCEAN5D	DA2	2024-09-08	Dysidea avara	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_196820		Bio5D T2.4.1 Sponge Amplicons				2024-09-08				Spain				42.1146			DD	3.1685			DD	3.5			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000048		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000143		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	
BIOCEAN5D	DA4	2024-09-08	Dysidea avara	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_196820		Bio5D T2.4.1 Sponge Amplicons				2024-09-08				Spain				42.1146			DD	3.1685			DD	4.1			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000049		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000144		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002150	
BIOCEAN5D	DA5	2024-09-08	Dysidea avara	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_196820		Bio5D T2.4.1 Sponge Amplicons				2024-09-08				Spain				42.1146			DD	3.1685			DD	4.1			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000050		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000145		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002151	
BIOCEAN5D	DA6	2024-09-08	Dysidea avara	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_196820		Bio5D T2.4.1 Sponge Amplicons				2024-09-08				Spain				42.1146			DD	3.1685			DD	19			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000051		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000146		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002152	
BIOCEAN5D	DA7	2024-09-08	Dysidea avara	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_196820		Bio5D T2.4.1 Sponge Amplicons				2024-09-08				Spain				42.1146			DD	3.1685			DD	19			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000052		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000147		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002153	
BIOCEAN5D	DA9	2024-09-08	Dysidea avara	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_196820		Bio5D T2.4.1 Sponge Amplicons				2024-09-08				Spain				42.1146			DD	3.1685			DD	19			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000053		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000148		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002154	
BIOCEAN5D	DA11	2024-09-08	Dysidea avara	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_196820		Bio5D T2.4.1 Sponge Amplicons				2024-09-08				Spain				42.1146			DD	3.1685			DD	11.5			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000054		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000149		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002155	
BIOCEAN5D	DA12	2024-09-08	Dysidea avara	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_196820		Bio5D T2.4.1 Sponge Amplicons				2024-09-08				Spain				42.1146			DD	3.1685			DD	11.5			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000055		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000150		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002156	
BIOCEAN5D	DA15	2024-09-08	Dysidea avara	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_196820		Bio5D T2.4.1 Sponge Amplicons				2024-09-08				Spain				42.1146			DD	3.1685			DD	11.5			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000056		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000151		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002157	
BIOCEAN5D	DA16	2024-09-09	Dysidea avara	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_196820		Bio5D T2.4.1 Sponge Amplicons				2024-09-09				Spain				42.2849			DD	3.298			DD	18.2			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000057		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000152		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002158	
BIOCEAN5D	DA17	2024-09-09	Dysidea avara	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_196820		Bio5D T2.4.1 Sponge Amplicons				2024-09-09				Spain				42.2849			DD	3.298			DD	18.2			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000058		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000153		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002159	
BIOCEAN5D	DA20	2024-09-09	Dysidea avara	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_196820		Bio5D T2.4.1 Sponge Amplicons				2024-09-09				Spain				42.2849			DD	3.298			DD	19.4			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000059		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000154		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002160	
BIOCEAN5D	DA22	2024-09-09	Dysidea avara	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_196820		Bio5D T2.4.1 Sponge Amplicons				2024-09-09				Spain				42.2849			DD	3.298			DD	9.6			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000060		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000155		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002161	
BIOCEAN5D	DA24	2024-09-09	Dysidea avara	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_196820		Bio5D T2.4.1 Sponge Amplicons				2024-09-09				Spain				42.2849			DD	3.298			DD	11.1			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000061		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000156		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002162	
